meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1235,9515,16,4,2024-05-19T13:07:23.419000+00:00,25.797,28.442,27.04,214.0,249.0,False,81.279,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",283.0
1235,9515,55,4,2024-05-19T13:07:24.286000+00:00,25.575,28.536,27.23,211.0,254.0,False,81.341,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2049, 2049, 2051, 2048, 2048, 2048]",296.0
1235,9515,81,4,2024-05-19T13:07:24.814000+00:00,25.5,28.541,27.336,212.0,254.0,False,81.377,"[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",284.0
1235,9515,63,4,2024-05-19T13:07:26.144000+00:00,25.851,28.425,27.352,,250.0,False,81.628,"[2048, 2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",291.0
1235,9515,44,4,2024-05-19T13:07:27.168000+00:00,25.826,28.58,27.309,215.0,252.0,False,81.715,"[2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",282.0
1235,9515,27,4,2024-05-19T13:07:28.592000+00:00,26.007,28.527,27.623,,253.0,False,82.157,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",284.0
1235,9515,22,4,2024-05-19T13:07:29.448000+00:00,25.937,28.61,27.523,215.0,252.0,False,82.07,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]",286.0
1235,9515,11,4,2024-05-19T13:07:30.294000+00:00,25.775,28.815,27.592,212.0,252.0,False,82.182,"[2048, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",282.0
1235,9515,3,4,2024-05-19T13:07:31.329000+00:00,25.738,28.8,27.689,215.0,250.0,False,82.227,"[2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2048, 2048, 2048]",286.0
1235,9515,31,4,2024-05-19T13:07:32.255000+00:00,25.762,28.744,27.723,208.0,249.0,False,82.229,"[2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",280.0
1235,9515,18,4,2024-05-19T13:07:32.869000+00:00,25.788,28.752,27.809,205.0,247.0,False,82.349,"[2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",281.0
1235,9515,23,4,2024-05-19T13:07:33.823000+00:00,25.808,29.055,27.715,206.0,251.0,False,82.578,"[2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048]",281.0
1235,9515,10,4,2024-05-19T13:07:34.423000+00:00,25.878,28.941,27.887,209.0,248.0,False,82.706,"[2048, 2049, 2048, 2049, 2048, 2049]","[2048, 2048, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",279.0
1235,9515,20,4,2024-05-19T13:07:34.896000+00:00,25.897,28.923,27.697,211.0,253.0,False,82.517,"[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049]",286.0
1235,9515,77,4,2024-05-19T13:07:35.648000+00:00,25.954,29.148,27.684,207.0,247.0,False,82.786,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2048]","[2049, 2048, 2048, 2049, 2049, 2048, 2049, 2048]",288.0
1235,9515,24,4,2024-05-19T13:07:36.452000+00:00,25.947,29.146,27.953,211.0,247.0,False,83.046,"[2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",283.0
1235,9515,2,4,2024-05-19T13:07:37.158000+00:00,25.946,29.066,27.978,208.0,251.0,False,82.99,"[2051, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1235,9515,14,4,2024-05-19T13:07:37.776000+00:00,,29.202,28.033,,250.0,False,83.071,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",274.0
1235,9515,1,5,2024-05-19T13:08:42.058000+00:00,25.602,28.041,27.091,,251.0,False,80.734,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",282.0
1235,9515,4,5,2024-05-19T13:08:43.507000+00:00,25.638,28.344,27.064,212.0,255.0,False,81.046,"[None, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",279.0
